,Flux
0,
1,
2,2.84479002085547e-07
3,2.674561017120781e-07
4,2.47172991453855e-07
5,2.3011819236515167e-07
6,2.1731887331859096e-07
7,2.0508698621765387e-07
8,1.939157878577741e-07
9,1.8144920920088457e-07
10,1.6765428827434313e-07
11,1.546638594261868e-07
12,1.420349734518904e-07
13,1.3234397614700037e-07
14,1.2625957863539586e-07
15,1.240336208107911e-07
16,1.2421775872759678e-07
17,1.2232098279309216e-07
18,1.1795138440937745e-07
19,1.1084374594550268e-07
20,1.0169687137803511e-07
21,9.455218429068108e-08
22,9.12469659485815e-08
23,8.997226944812376e-08
24,8.89000425928151e-08
25,8.75725384263506e-08
26,8.351528466173283e-08
27,7.950125625468569e-08
28,7.968863071409868e-08
29,8.155726770169558e-08
30,8.331404094122713e-08
31,8.297013685851268e-08
32,7.88981231669681e-08
33,7.33208108528705e-08
34,6.881372982368932e-08
35,6.694485687302956e-08
36,6.703787115890866e-08
37,6.684658399899737e-08
38,6.686192543181316e-08
39,6.695073263873505e-08
40,6.641815916310411e-08
41,6.595134304162164e-08
42,6.390620861987892e-08
43,6.041558772028234e-08
44,5.6611528900238865e-08
45,5.306287595185718e-08
46,5.101908826578944e-08
47,5.0092179340562345e-08
48,4.967046131978389e-08
49,5.0753415022250935e-08
50,5.2990573325704226e-08
51,5.616651585058894e-08
52,6.091236412372643e-08
53,6.464612763609951e-08
54,6.63690148393836e-08
55,6.655711329842338e-08
56,6.597640193832176e-08
57,6.697876166277366e-08
58,6.941838536435801e-08
59,7.231404679811113e-08
60,7.542014212985909e-08
61,7.681562796802699e-08
62,7.620906529031873e-08
63,7.64631587911424e-08
64,7.662934289230348e-08
65,7.549140861004701e-08
66,7.437976774877638e-08
67,7.057929096400442e-08
68,6.577136187613411e-08
69,6.368172568234229e-08
70,6.261355307523613e-08
71,6.192719774049196e-08
72,6.07969779190222e-08
73,5.864228011880904e-08
74,5.792805221107638e-08
75,5.8822747121410214e-08
76,6.116547246808386e-08
77,6.504892516050076e-08
78,6.735653246321733e-08
79,6.768337899078666e-08
80,6.570254093271601e-08
81,6.266978684348049e-08
82,6.111530828259291e-08
83,6.045377758330396e-08
84,6.092089996413993e-08
85,6.054131006290448e-08
86,5.904967912325453e-08
87,5.8532211345830386e-08
88,5.84596179030149e-08
89,5.8121332780368895e-08
90,5.670079757398044e-08
91,5.500981578748705e-08
92,5.410730461773353e-08
93,5.438049558968061e-08
94,5.605494601968302e-08
95,5.9236951389844066e-08
96,6.273825614250923e-08
97,6.47519303924041e-08
98,6.593923723221013e-08
99,6.679531337045322e-08
100,6.714078189301403e-08
101,6.735170356614696e-08
102,6.740403303838535e-08
103,6.807612974833938e-08
104,7.130601697118479e-08
105,7.69379154862708e-08
106,8.280662419383605e-08
107,8.500096190841063e-08
108,8.403836576390915e-08
109,8.573452931265323e-08
