JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2447065.0	<13.4			Vis.	HK								Z				OJ 287 CNC		STD				
2447099.9	<14.9			Vis.	GRI								Z				OJ 287 CNC		STD				
2447100.9	<14.9			Vis.	GRI								Z				OJ 287 CNC		STD				
2447113.9	<14.9			Vis.	GRI								Z				OJ 287 CNC		STD				
2447122.8	<14.9			Vis.	GRI								Z				OJ 287 CNC		STD				
2447177.8	<14.9			Vis.	GRI								Z				OJ 287 CNC		STD				
2447183.8	<14.9			Vis.	GRI								Z				OJ 287 CNC		STD				
2447204.3	<15.6			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447204.6	<14.6			Vis.	STI								Z				OJ 287 CNC		STD				
2447205.442	15.3			Vis.	MAR								Z				OJ 287 CNC		STD				
2447205.8	<14.9			Vis.	GRW								Z				OJ 287 CNC		STD				
2447206.42	15.6			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447206.452	15.4			Vis.	MAR								Z				OJ 287 CNC		STD				
2447207.316	<14.4			Vis.	BAX								Z				OJ 287 CNC		STD				
2447207.42	<15.5			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447207.435	15.6			Vis.	MAR								Z				OJ 287 CNC		STD				
2447208.45	15.5			Vis.	MAR								Z				OJ 287 CNC		STD				
2447208.46	<15.8			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447211.42	<15.5			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447211.442	15.4			Vis.	MAR								Z				OJ 287 CNC		STD				
2447212.42	<15.8			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447212.456	15.4			Vis.	MAR								Z				OJ 287 CNC		STD				
2447212.5	<14.8			Vis.	BAX								Z				OJ 287 CNC		STD				
2447213.41	15.7			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
2447225.415	15.2			Vis.	MAR								Z				OJ 287 CNC		STD				
2447226.32	<15.5			Vis.	VET								Z				OJ 287 CNC	AFOEV	STD				
